at,csho,dltt,ebit,ebitda,ni,prcc_c,prch_c,prcl_c,exchg
2079,35.097,670.9,108.4,152.1,4.4,45.1,52.78,29.84,11
59995,428.203,28875,3706,6024,1686,28.68,37.23,24.23,14
408.637,35.137,81.457,19.622,30.231,17.707,7.66,9.84,6.5,14
286.612,19.29,0,-1.173,-1.173,91.431,13.63,13.8,9.03,11
18479.247,112.436,4884.43,671.96,1262.889,538.32,89.93,99.81,81.63,11
3297.8,66.718,626.53,313.931,2391.35,31.472,57.11,78.65,41.21,11
67887,1762.503,17416,5041,8055,3687,86.86,89.24,65.5,11
110.749,3.351,38.38,8.429,11.862,5.514,23.79,24.507,14,12
37.94,12.597,2.934,-4.385,-3.166,-2.636,3.1,4.8177,2.6,12
,105.413,,,,,15.77,16.76,12.37,11
330.842,4.236,11.699,7.8,24.441,8.207,38.07,42.17,29.16,12
6028,1170,685,583,725,341,45.86,47.31,16.94,14
8789.885,239.619,1466.243,812.666,1367.242,473.166,61.61,64.88,38.72,11
18942.8,220.415,3227.4,2120.5,3203.3,1760,234.99,241.9,153.63,11
151.427,2.882,50.609,7.272,12.953,7.656,20.15,24.5,12.51,14
12993,123,2703,1107,1530,769,67.75,72.22,53.3895,11
262.031,1.855,0.268,40.529,51.382,36.761,751.5,948.0275,675.3351,14
2845.4,42.9,1108,108.3,205.7,82.7,40.8,42.155,31.4,11
1265.511,5.107,975.806,99.489,99.489,60.075,330.35,394.7,300,11
417.388,7.477,156.742,29.828,43.752,37.833,35.83,36.48,25.25,14
26931.604,14.365,1992.213,1208.593,1328.106,857.801,799.57,812.6,600.23,11
58679,711.1,11644,7397,8485,6143,177,183.115,129.07,14
4839.6,170.1,0,1042.1,1413.7,853.6,120.88,122.89,60.115,14
21782,304.955,7733,637,2776,-408,66.81,74.11,39.08,11
13438.024,19.608,4268.55,512.313,1176.433,442.048,375.82,426.5,322.15,14
3692.6,66.571,744.2,225.9,333.3,127.4,37.71,42.67,30.66,11
13688.531,41.207,1611.988,505.922,524.222,366.391,130.56,138.05,94.12,11
,11.377,,,,,20.8,21.01,16.78,11
2231.244,31.461,822.104,74.094,135.396,33.14,57.91,67.24,53.48,14
75892.3,494.169,26110.6,2592.3,5106.8,1921.1,94.51,96.22,72.255,14
198321,810,43003,9582,10770,6759,124.49,129.34,93.23,11
152768,726.793,6569,4735,4775,3304,52.9,57.18,44.28,11
525064,869.999,36083,6617,11623,3348,51.33,58.66,38.67,11
28597.566,26.887,157.997,694.377,747.537,620.363,117.68,155.2379,111.01,14
830.641,15.997,419.907,14.547,27.926,-15.958,17.13,17.89,10.5292,11
53.783,5.817,10.958,2.86,10.201,0.659,2.44,3.3,2.3,12
171.293,32.234,1.424,6.048,14.151,6.742,14.88,17.11,9.78,14
670.098,30.173,155.269,21.601,40.244,13.601,19.47,21.19,12.685,11
9844.559,229.083,2413.912,1177.38,1411.422,861.297,99.74,100.88,65.42,11
59707,591.4,27338,9721,11756,7842,241.07,244.99,166.3,14
506.56,12.652,54.145,2.853,21.82,-20.986,3.01,4.92,2.85,11
96.666,8.133,0.967,0.016,0.553,-5.903,5.98,7,5,11
