Symbol,text
MMM,"About 3M Co3M Co is a technology company. The Company operates through four segments: Safety and Industrial, Transportation and Electronics, Health Care and Consumer. Safety and Industrial segment consist of personal safety, industrial adhesives and tapes, abrasives, closure and masking systems, electrical markets, automotive aftermarket, and roofing granules. Transportation and Electronics segment consists of electronics, including display materials and systems, electronic materials solutions, automotive and aerospace, commercial solutions, advanced materials, and transportation safety. Health Care segment’s products and services include medical and surgical supplies, skin health and infection prevention products, oral care solutions, separation and purification sciences, health information systems and food safety products. Consumer segment serves consumers and consists of home improvement, stationery and office supplies, home care and consumer health care."
ABT,"About Abbott LaboratoriesAbbott Laboratories (Abbott) is engaged in the discovery, development, manufacture, and sale of a diversified line of health care products. The Company operates through four segments: Established Pharmaceutical Products, Diagnostic Products, Nutritional Products, and Medical Devices. The Company focuses on cardiovascular, diabetes care, diagnostics, neuromodulation, nutrition and medicine. It offers products, including FreeStyle, PediaSure, Pedialyte, Similac, EleCare, ZonePerfect, Juven, Ensure and Glucerna. The Company’s products are sold directly to wholesalers, distributors, government agencies, health care facilities, pharmacies, and independent retailers from Abbott-owned distribution centers and public warehouses. The cardiovascular's products include Portico, MitraClip, Dilatation Catheter, among others. The diagnostics products include IntelliFISH, Vysis ALK, STARLIMS, PathVysion, AlinIQ, among others. "
ABBV,"About AbbVie IncAbbVie Inc. (AbbVie) is a research-based biopharmaceutical company. The Company is engaged in research and development, manufacturing, commercialization and sale of medicines and therapies. AbbVie offers its products in various therapeutic categories, including Immunology products, which include Humira, Skyrizi and Rinvoq; Oncology products consists of Imbruvica and Venclexta; Aesthetics products include Botox Cosmetic, Juvederm Collection and other aesthetics; Neuroscience products, such as Botox Therapeutic, Vraylar, Duopa and Duodopa, and Ubrelvy; Eye care products consists of Lumigan, Alphagan and Restasis ; Women's health products incudes Lo Loestrin, Orilissa and other women's health; and Other key products, which includes Mavyret, Creon, Lupron, Linzess and Synthroid. The Company's products are sold worldwide directly to wholesalers, distributors, government agencies, health care facilities and independent retailers from AbbVie-owned distribution centers and public warehouses."
ABMD,"About ABIOMED, Inc.ABIOMED, Inc. is a provider of temporary percutaneous mechanical circulatory support devices. The Company offers care to heart failure patients. The Company operates in the segment of the research, development and sale of medical devices to assist or replace the pumping function of the failing heart. The Company develops, manufactures and markets products that are designed to enable the heart to rest, heal and recover by improving blood flow to the coronary arteries and end-organs and/or temporarily performing the pumping function of the heart. The Company's product portfolio includes the Impella 2.5, Impella CP, Impella RP, Impella LD, Impella 5.0 and AB5000. The Company's products are used in the cardiac catheterization lab (cath lab), by interventional cardiologists, the electrophysiology lab, the hybrid lab and in the heart surgery suite by heart surgeons."
ACN,"About Accenture PlcAccenture plc is a professional services company. It provides management and technology consulting services. Its segments include Communications, Media and Technology; Financial Services; Health and Public Service; Products, and Resources. The Communications, Media & Technology segment serves communications, electronics, technology, media and entertainment industries. The Financial Services segment serves banking, capital markets and insurance industries. The Health & Public service segment serves healthcare payers and providers, and government departments and agencies, public service organizations, educational institutions and non-profit organizations. The Resources segment serves chemicals, energy, forest products, metals and mining, utilities and related industries. It offers digital advertising services. It also provides companies with a comprehensive offering across content creation production and distribution. It provides managed security and cyber defense services (MSS)."
ATVI,"About Activision Blizzard, Inc.Activision Blizzard, Inc. is a developer and publisher of interactive entertainment content and services. The Company develops and distributes content and services across various gaming platforms, including video game consoles, personal computers (PC) and mobile devices. Its segments include Activision Publishing, Inc. (Activision), Blizzard Entertainment, Inc. (Blizzard), King Digital Entertainment (King) and Other. Activision is a developer and publisher of interactive software products and content. Blizzard is engaged in developing and publishing of interactive software products and entertainment content, particularly in PC gaming. King is a mobile entertainment company. It is engaged in other businesses, including The Major League Gaming (MLG) business; The Activision Blizzard Studios (Studios) business, and The Activision Blizzard Distribution (Distribution) business. It also develops products spanning other genres, including action/adventure, role-playing and simulation."
ADBE,"About Adobe IncAdobe Inc., formerly Adobe Systems Incorporated, is a software company. The Company offers products and services used by professionals, marketers, knowledge workers, application developers, enterprises and consumers for creating, managing, measuring, optimizing and engaging with compelling content and experiences. It operates through three segments: Digital Media, Digital Experience and Publishing. Its Digital Media segment provides tools and solutions that enable individuals, small and medium businesses and enterprises to create, publish, promote and monetize their digital content. Its Digital Experience segment provides solutions and services for how digital advertising and marketing are created, managed, executed, measured and optimized. Its Publishing segment addresses market opportunities ranging from the diverse authoring and publishing needs of technical and business publishing to its legacy type and original equipment manufacturer printing businesses."
AMD,"About Advanced Micro Devices, Inc.Advanced Micro Devices, Inc. is a global semiconductor company. The Company is engaged in offering x86 microprocessors, as standalone devices or as incorporated into an accelerated processing unit (APU), chipsets, discrete graphics processing units (GPUs) and professional graphics, and server and embedded processors and semi-custom System-on-Chip (SoC) products and technology for game consoles. The Company's segments include the Computing and Graphics segment, and the Enterprise, Embedded and Semi-Custom segment. The Computing and Graphics segment primarily includes desktop and notebook processors and chipsets, discrete GPUs and professional graphics. The Enterprise, Embedded and Semi-Custom segment primarily includes server and embedded processors, semi-custom SoC products, development services, technology for game consoles and licensing portions of its intellectual property portfolio."
AAP,"About Advance Auto Parts, Inc.Advance Auto Parts, Inc. is an automotive aftermarket parts provider in North America, serving both professional installers (Professional) and do-it-yourself (DIY) customers, as well as independently owned operators. The Company's stores and branches offer a selection of brand name, original equipment manufacturer (OEM) and private label automotive replacement parts, accessories, batteries and maintenance items for domestic and imported cars, vans, sport utility vehicles and light and heavy duty trucks. It operates through five segments: Northern Division, Southern Division, Carquest Canada, Independents and Worldpac. It operates approximately 4,806 total stores and 170 branches primarily under the trade names: Advance Auto Parts, Autopart International, Carquest and Worldpac. The Company offers products under categories, including parts & batteries, accessories & chemicals and engine maintenance."
AES,"About AES CorpThe AES Corporation is a holding company. The Company, through its subsidiaries, operates a diversified portfolio of electricity generation and distribution businesses. The Company is organized into four market-oriented strategic business units (SBUs): US and Utilities (United States, Puerto Rico and El Salvador); South America (Chile, Colombia, Argentina and Brazil); MCAC (Mexico, Central America and the Caribbean), and Eurasia (Europe and Asia). It has two lines of business: generation and utilities. The generation business owns and/or operates power plants to generate and sell power to customers, such as utilities, industrial users, and other intermediaries. The Company's utilities business owns and/or operates utilities to generate or purchase, distribute, transmit and sell electricity to customers in the residential, commercial, industrial and governmental sectors within a defined service area. "
