,Title,Source,Datetime,file,path
0,Vegan Activists Block McDonald’s U.K. Burger Supplies in Protest,Bloomberg,"Sat, May 22, 2021, 1:03 PM",1_article.txt,\yahoo_finance_news\1_article.txt
1,"ViacomCBS streaming head: We're 'extremely well-positioned' vs. WarnerMedia, Discovery",Yahoo Finance,"Sat, May 22, 2021, 1:00 PM",2_article.txt,\yahoo_finance_news\2_article.txt
2,UPDATE 1-Campaign group Animal Rebellion blockades McDonald's centres in UK,Reuters,"Sat, May 22, 2021, 12:48 PM",3_article.txt,\yahoo_finance_news\3_article.txt
3,U.S. Weighs Financial Sanctions Against Ethiopia Over Tigray War,Bloomberg,"Sat, May 22, 2021, 12:18 PM",4_article.txt,\yahoo_finance_news\4_article.txt
4,German cyber security chief fears hackers could target hospitals,Reuters,"Sat, May 22, 2021, 12:07 PM",5_article.txt,\yahoo_finance_news\5_article.txt
5,Germany Curbs U.K. Travel; Eiffel Tower to Reopen: Virus Update,Bloomberg,"Sat, May 22, 2021, 12:06 PM",6_article.txt,\yahoo_finance_news\6_article.txt
6,Bitcoiners Waving Eco-Friendly Bona Fides Bet on Green Premium,Bloomberg,"Sat, May 22, 2021, 12:00 PM",7_article.txt,\yahoo_finance_news\7_article.txt
7,"Worker at chipmaker TSMC gets COVID, operations unaffected",Reuters,"Sat, May 22, 2021, 11:40 AM",8_article.txt,\yahoo_finance_news\8_article.txt
8,"UPDATE 1-Israel-Hamas ceasefire holds, Egyptian mediators shuttle between the two sides",Reuters,"Sat, May 22, 2021, 11:26 AM",9_article.txt,\yahoo_finance_news\9_article.txt
9,China's Fosun says willing to provide BioNTech vaccines to Taiwan,Reuters,"Sat, May 22, 2021, 11:20 AM",10_article.txt,\yahoo_finance_news\10_article.txt
10,WRAPUP 2-Myanmar junta leader says Suu Kyi will soon appear,Reuters,"Sat, May 22, 2021, 10:26 AM",11_article.txt,\yahoo_finance_news\11_article.txt
11,"Blinken to visit Israel, West Bank on May 26-27, source says",Reuters,"Sat, May 22, 2021, 10:09 AM",12_article.txt,\yahoo_finance_news\12_article.txt
12,Philippines and China hold 'friendly and candid' talks on South China Sea,Reuters,"Sat, May 22, 2021, 10:01 AM",13_article.txt,\yahoo_finance_news\13_article.txt
13,Summers Says Crypto Has Chance of Becoming ‘Digital Gold’,Bloomberg,"Sat, May 22, 2021, 9:43 AM",14_article.txt,\yahoo_finance_news\14_article.txt
14,UPDATE 1-India's JSW Steel examining bid for Gupta's British business -sources,Reuters,"Sat, May 22, 2021, 9:13 AM",15_article.txt,\yahoo_finance_news\15_article.txt
15,"Gaza ceasefire holding as Egyptian mediators consult Hamas, Israel",Reuters,"Sat, May 22, 2021, 8:57 AM",16_article.txt,\yahoo_finance_news\16_article.txt
16,UPDATE 2-China says Martian rover takes first drive on surface of Red Planet,Reuters,"Sat, May 22, 2021, 8:31 AM",17_article.txt,\yahoo_finance_news\17_article.txt
17,Veteran stock picker to join 'Son-chan' on SoftBank board,Reuters,"Sat, May 22, 2021, 8:29 AM",18_article.txt,\yahoo_finance_news\18_article.txt
18,China says Martian rover takes first drive on surface of Red Planet,Reuters,"Sat, May 22, 2021, 8:00 AM",19_article.txt,\yahoo_finance_news\19_article.txt
19,"Away From the Big Crypto Blaze, Another Market Tension Eases",Bloomberg,"Sat, May 22, 2021, 7:59 AM",20_article.txt,\yahoo_finance_news\20_article.txt
20,World’s Best Rally Has Morgan Stanley to Newton Eyeing Europe,Bloomberg,"Sat, May 22, 2021, 7:08 AM",21_article.txt,\yahoo_finance_news\21_article.txt
